reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libmediaart-2.0-0	1.9.4-3	amd64	libmediaart	1.9.4-3	libmediaart-2.0-0	arm64	native-arm64	exact-binary-and-source-version	1.9.4-3	f233557076b4903f35d8e31f74282de5c23c29ad95f15e2d065799235cb55582	f233557076b4903f35d8e31f74282de5c23c29ad95f15e2d065799235cb55582-libmediaart-2.0-0_1.9.4-3_arm64.deb
libmetacity3	1:3.38.0-2+grm3u1	amd64	metacity	1:3.38.0-2+grm3u1	libmetacity3	arm64	native-arm64	exact-binary-and-source-version	1:3.38.0-2+grm3u1	bef542edefd8c8488f693290524953c28abead9abad2481fd0004caa9553a551	bef542edefd8c8488f693290524953c28abead9abad2481fd0004caa9553a551-libmetacity3_3.38.0-2+grm3u1_arm64.deb
libminizip1	1.1-8+b1	amd64	minizip	1.1-8	libminizip1	arm64	native-arm64	exact-binary-and-source-version	1.1-8+b1	9db7fb955cc168a591fa5cc052f02606a39333ce4b15177426baf2d956018400	9db7fb955cc168a591fa5cc052f02606a39333ce4b15177426baf2d956018400-libminizip1_1.1-8+b1_arm64.deb
libmjpegutils-2.1-0	1:2.1.0+debian-6	amd64	mjpegtools	1:2.1.0+debian-6	libmjpegutils-2.1-0	arm64	native-arm64	exact-binary-and-source-version	1:2.1.0+debian-6	e09666538003abdb1646ea2e3f37cf6c1188e9517226fadf2feed52a184b0188	e09666538003abdb1646ea2e3f37cf6c1188e9517226fadf2feed52a184b0188-libmjpegutils-2.1-0_1%3a2.1.0+debian-6_arm64.deb
libmm-glib0	1.14.12-0.2	amd64	modemmanager	1.14.12-0.2	libmm-glib0	arm64	native-arm64	exact-binary-and-source-version	1.14.12-0.2	91c7b87c8f0568a171616c65282580216933a3bd14dfefe690207654008fbbd6	91c7b87c8f0568a171616c65282580216933a3bd14dfefe690207654008fbbd6-libmm-glib0_1.14.12-0.2_arm64.deb
libmms0	0.6.4-3	amd64	libmms	0.6.4-3	libmms0	arm64	native-arm64	exact-binary-and-source-version	0.6.4-3	693b550f8e391398b22b3aca25c25dc21f8eeb2279bee82c98bd56a2401315d5	693b550f8e391398b22b3aca25c25dc21f8eeb2279bee82c98bd56a2401315d5-libmms0_0.6.4-3_arm64.deb
libmnl0	1.0.4-3	amd64	libmnl	1.0.4-3	libmnl0	arm64	native-arm64	exact-binary-and-source-version	1.0.4-3	d63aafb6f2c07db8fcb135b00ff915baf72ef8a3397e773c9c24d67950c6a46c	d63aafb6f2c07db8fcb135b00ff915baf72ef8a3397e773c9c24d67950c6a46c-libmnl0_1.0.4-3_arm64.deb
libmodplug1	1:0.8.9.0-3	amd64	libmodplug	1:0.8.9.0-3	libmodplug1	arm64	native-arm64	exact-binary-and-source-version	1:0.8.9.0-3	31562caee099234947a228d6392156495b10f4b1960182e419554fe58ee50402	31562caee099234947a228d6392156495b10f4b1960182e419554fe58ee50402-libmodplug1_1%3a0.8.9.0-3_arm64.deb
libmount1	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	libmount1	arm64	native-arm64	exact-binary-and-source-version	2.36.1-8+deb11u1	fd1dff93bdaba84d3f45f25448e2ada8c867674cd4e8af9fe25604ddf9a2f8de	fd1dff93bdaba84d3f45f25448e2ada8c867674cd4e8af9fe25604ddf9a2f8de-libmount1_2.36.1-8+deb11u1_arm64.deb
libmozjs-78-0	78.4.0-2	amd64	mozjs78	78.4.0-2	libmozjs-78-0	arm64	native-arm64	exact-binary-and-source-version	78.4.0-2	5bb48c803a0410c94ba91570f0e43d3eff4443c05271936655b5b61aa878f318	5bb48c803a0410c94ba91570f0e43d3eff4443c05271936655b5b61aa878f318-libmozjs-78-0_78.4.0-2_arm64.deb
libmp3lame0	3.100-3	amd64	lame	3.100-3	libmp3lame0	arm64	native-arm64	exact-binary-and-source-version	3.100-3	ad02a132721a5569476235b3fbe8f88af0c9e06fa37d8d68f5eda604cfe8ec92	ad02a132721a5569476235b3fbe8f88af0c9e06fa37d8d68f5eda604cfe8ec92-libmp3lame0_3.100-3_arm64.deb
libmpc3	1.2.0-1	amd64	mpclib3	1.2.0-1	libmpc3	arm64	native-arm64	exact-binary-and-source-version	1.2.0-1	a138ffba2e730fc8bf50004791f411f7850159a6d916a704b3f062770f7bc375	a138ffba2e730fc8bf50004791f411f7850159a6d916a704b3f062770f7bc375-libmpc3_1.2.0-1_arm64.deb
